work_id,title,authors,year,journal,doi,doc_type,cited_by_count
WOS:001596652300095,When Transformer Meets Layout Hotspot: An End-to-End Transformer-based Detector with Prior Lithography,"Xu, WB Chen, SL Li, JL Di, KJ Fu, YX Zou, NM",2025,"PROCEEDINGS OF THE GREAT LAKES SYMPOSIUM ON VLSI 2025, GLSVLSI 2025",10.1145/3716368.3735160,Proceedings Paper,0
WOS:001532189500063,Automatic Defect Fatality Analysis and Killer-defect Identification System Based on Deep Learning,"Liu, F Wu, B Deng, YF Jing, RY Mei, ZZZ Yu, W Wang, K",2025,"2025 CONFERENCE OF SCIENCE AND TECHNOLOGY OF INTEGRATED CIRCUITS, CSTIC",10.1109/CSTIC64481.2025.11017877,Proceedings Paper,0
WOS:001476945200131,DefectTrackNet: Efficient Root Cause Analysis of Wafer Defects in Semiconductor Manufacturing Using a Lightweight CNN-Transformer Architecture,"Zeng, LC Mei, ZZ Shi, ZY Chen, YN",2025,"30TH ASIA AND SOUTH PACIFIC DESIGN AUTOMATION CONFERENCE, ASP-DAC 2025",10.1145/3658617.3697608,Proceedings Paper,0
WOS:001432345700001,Research on Acceleration Algorithm for Source Measurement Unit Based on BA-Informer,"Chen, HT Shen, YT Duan, YL Wang, HJ Yang, Y Wang, JB Xue, PX Li, H Li, F",2025,ELECTRONICS,10.3390/electronics14040698,Article,0
WOS:001654113500009,UC-ILT: U-Net with Ctrans inverse lithography techniques,"Xu, H Zhang, Y Sun, X Xue, Y Li, JL Li, ZH Ma, RJ Huang, ZF",2025,JOURNAL OF MICRO-NANOPATTERNING MATERIALS AND METROLOGY-JM3,10.1117/1.JMM.24.4.043203,Article,0
WOS:001628542600001,Dynamic scheduling of wafer batch processing machines via reinforcement learning enhanced by expert-guided lightweight LLM,"Xiang, WB Zhang, J Zhang, P Wang, M",2026,INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,10.1080/00207543.2025.2582768,Article,0
WOS:001654113500007,Deep-learning-driven automation of inner and outer object segmentation in SEM/TEM imaging for semiconductor metrology,"Sanou, IW Baderot, J Barra, V Hallal, A Mazauric, L Foucher, J",2025,JOURNAL OF MICRO-NANOPATTERNING MATERIALS AND METROLOGY-JM3,10.1117/1.JMM.24.4.041406,Article,0
WOS:001432930500054,Anomaly Detection System for Semiconductor Deposition Process using Transformer,"Ha, MH Arshad, S Chae, MS Yun, SC Kim, SH Park, TH",2024,"2024 24TH INTERNATIONAL CONFERENCE ON CONTROL, AUTOMATION AND SYSTEMS, ICCAS 2024",,Proceedings Paper,0
WOS:001582843600311,Machine Learning-Based Endpoint-Detection Control System for an Atomic Layer Etching Process,"Wang, H Ou, FY Orkoulas, G Christofides, PD",2025,"2025 AMERICAN CONTROL CONFERENCE, ACC",,Proceedings Paper,0
WOS:001494111500002,Large Pre-Trained Models and Few-Shot Fine-Tuning for Virtual Metrology: A Framework for Uncertainty-Driven Adaptive Process Control in Semiconductor Manufacturing,"Lin, CY Tseng, TL Emon, SH Tsai, TH",2025,IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,10.1109/TASE.2025.3568010,Article,0
WOS:001565027300007,Learning to Detect Lithography Defects in SEM Images,"Lu, H Zhao, BT Shen, JW Zhan, HJ Lyu, SJ Lu, Y",2025,"PATTERN RECOGNITION, ICPR 2024, PT V",10.1007/978-3-031-78169-8_7,Proceedings Paper,0
WOS:001480998100022,Large Language Model Driven Logic Locking: A Generative Approach to Secure IC Design,"Gandhi, J Shekhawat, D Santosh, M Dofe, J Pandey, JG",2024,"2024 IEEE 33RD ASIAN TEST SYMPOSIUM, ATS",10.1109/ATS64447.2024.10915359,Proceedings Paper,0
WOS:001557491000001,Region Segmentation for Efficient Semiconductor Inspection: A Deep Learning Approach with Transformers and Atrous Convolution,"Koara, H Gong, H Xu, C Cai, SZ Zhou, X",2025,ELECTRONICS,10.3390/electronics14163260,Article,0
WOS:001442947000173,ROBUST REPRESENTATION LEARNING WITH SELF-DISTILLATION FOR DOMAIN GENERALIZATION,"Singh, A Jayavelu, S",2024,"2024 IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING, ICIP",10.1109/ICIP51287.2024.10648135,Proceedings Paper,0
WOS:001514426300035,The Deep Learning Technology for Predicting Memory Hole Contact Distortion Profile with Multiple in-line Data in 3D NAND Flash Memory,"Jung, H Choi, BY Hong, J Kim, J Ryu, M Kim, S Choi, S Park, Y Jeong, M Noh, K Park, BT Hong, S Hur, SH",2025,"METROLOGY, INSPECTION, AND PROCESS CONTROL XXXIX",10.1117/12.3051179,Proceedings Paper,0
WOS:001658915200001,A novel process monitoring method for multivariate autocorrelated mixed-type data based on transformer model integrated with the feature-enhancement learning method,"Xue, L Feng, S Zhao, TC He, Z Jia, YZ He, TY",2026,COMPUTERS & INDUSTRIAL ENGINEERING,10.1016/j.cie.2025.111776,Article,0
WOS:000467273300075,DeepTronic: An Electronic Device Classification Model using Deep Convolutional Neural Networks,"Salvador, RC Bandala, AA Javel, IM Bedruz, RAR Dadios, EP Vicerra, RRP",2018,"2018 IEEE 10TH INTERNATIONAL CONFERENCE ON HUMANOID, NANOTECHNOLOGY, INFORMATION TECHNOLOGY, COMMUNICATION AND CONTROL, ENVIRONMENT AND MANAGEMENT (HNICEM)",,Proceedings Paper,0
WOS:001654113500011,Toward a robust approach to multivariate time series anomaly detection,"Shon, J Woo, SS",2025,JOURNAL OF MICRO-NANOPATTERNING MATERIALS AND METROLOGY-JM3,10.1117/1.JMM.24.4.041402,Article,0
WOS:001672958600239,Few-shot Learning on AMS Circuits and Its Application to Parasitic Capacitance Prediction,"Shen, S Zhang, Y Rodriguez, HR Yu, W",2025,"PROCEEDINGS OF THE 62ND ANNUAL ACM/IEEE DESIGN AUTOMATION CONFERENCE, DAC 2025",10.1109/DAC63849.2025.11132936,Proceedings Paper,0
WOS:001545311800099,A Squeeze-and-Excitation and Transformer Based Model for Remaining Useful Life Prediction in Ion Mill Etching Process,"Yuan, ZW Wang, R",2023,"2023 IEEE 19TH INTERNATIONAL CONFERENCE ON AUTOMATION SCIENCE AND ENGINEERING, CASE",10.1109/CASE56687.2023.10260503,Proceedings Paper,0
WOS:001514426300110,Toward a robust approach to multivariate time series anomaly detection,"Shon, J Woo, SS",2025,"METROLOGY, INSPECTION, AND PROCESS CONTROL XXXIX",10.1117/12.3050401,Proceedings Paper,0
WOS:001542450400013,PEARL: An Adaptive and Explainable Hardware Trojan Detection Using Open Source and Enterprise Large Language Models,"Kundu, RK Khalil, K Garcia, E Grassia, E Calyam, P Hoque, KA",2025,IEEE ACCESS,10.1109/ACCESS.2025.3592030,Article,0
WOS:001487986800031,Advancements in precision optics polishing through AI-driven predictive models,"Zettler, N Borret, R",2025,AI AND OPTICAL DATA SCIENCES VI,10.1117/12.3042737,Proceedings Paper,0
WOS:000788968900001,Model for Estimating Time-Varying Properties of an Inductively Coupled Plasma,"Georg, R Chadwick, AR Dally, BB Herdrich, G",2022,IEEE TRANSACTIONS ON PLASMA SCIENCE,10.1109/TPS.2022.3166162,Article,0
WOS:001327156000323,Efficient and Accurate Calculation of Equivalent Thermal Conductivity of Wiring Structures in Mesoscopic Scale and Intelligent Prediction,"Zheng, H Zhao, ZY Wan, G Cheng, MX Qiao, W Zheng, RQ Jia, YX",2024,"2024 25TH INTERNATIONAL CONFERENCE ON ELECTRONIC PACKAGING TECHNOLOGY, ICEPT",10.1109/ICEPT63120.2024.10668724,Proceedings Paper,0
WOS:001606463300001,Durative Monitoring of Sulfur Hexafluoride Characteristic Gases under Hydrogen Interference Using a Time2Vec-Encoded CNN-Transformer-LSTM Model Based on a Heterogeneous Gas Sensor Array,"Li, TF Zhang, YG Sun, HM Zhang, Z Zhang, C Sun, JR Wang, HR",2025,ACS SENSORS,10.1021/acssensors.5c02740,Article,0
WOS:001638074400015,A Lightweight Multiscale Signal Learning Framework for Predicting Battery Degradation Trajectory,"Shen, QY Li, J Nie, JH Bao, ZY Wang, CH",2025,IEEE SENSORS JOURNAL,10.1109/JSEN.2025.3625630,Article,0
WOS:001701480300137,VLPred: Accelerated Endurance Prediction Platform enabled by AI Surrogates,"Venkatesan, P Li, CR Padovani, A Wang, ZK Jayasankar, H Ravikumar, P Nabian, M Tangsali, K Nidhan, S Vamaraju, J Cherukuri, R Mathur, P Piccinini, E Foiera, R Gafiteanu, R Aabrar, KA Datta, S Kalidindi, S Larcher, L Khan, A Wang, YY Thareja, G",2025,"2025 IEEE INTERNATIONAL ELECTRON DEVICES MEETING, IEDM",10.1109/IEDM50572.2025.11353672,Proceedings Paper,0
WOS:001482520400001,Inverse design of digital nonlinear piezoelectric metamaterial using Trans-conv model,"Xu, JW Pu, XQ Xia, DW You, ZY Tong, SQ",2025,SMART MATERIALS AND STRUCTURES,10.1088/1361-665X/add0f5,Article,0
